identifier,label_str,label_int
DUSKIM,salt,1
DUSKOS,salt,1
DUSKUY,cocrystal,2
DUSLUY,salt,1
DUSMAF,hydrate,3
DUSMIO,salt,1
DUSMOU,salt,1
DUSMUA,salt,1
DUSPUD,salt,1
DUSQAK,salt,1
DUSQUE,salt,1
DUSRIT,hydrate,3
DUSSAM,salt,1
DUSYIA,salt,1
DUSYOG,salt,1
DUSYUM,salt,1
DUTCAX,salt,1
DUTCEC,salt,1
DUTFEG,cocrystal,2
DUTFUU,salt,1
DUTJEI,hydrate,3
DUTKAF,salt,1
DUTKIN,cocrystal,2
DUTPAK,hydrate,3
DUTRAM,salt,1
DUTSAN,salt,1
DUTSOB,cocrystal,2
DUTTOC,salt,1
DUTZAU,salt,1
DUTZOI,salt,1
DUTZUO,salt,1
DUVCAZ,salt,1
DUVCIH,salt,1
DUVCUT,hydrate,3
DUVHAE,cocrystal,2
DUVHOS,hydrate,3
DUVKEL,salt,1
DUVSAO,salt,1
DUVYEZ,salt,1
DUWHOV,salt,1
DUWHUB,salt,1
DUWJEN,hydrate,3
DUWLAL,cocrystal,2
DUWXAW,cocrystal,2
DUWXOL,cocrystal,2
DUXBUU,salt,1
DUXCAB,salt,1
DUXGIM,salt,1
DUXJOX,salt,1
DUXKOW,salt,1
DUXKUC,salt,1
DUXSAR,cocrystal,2
DUXSEV,solvate,4
DUXWAV,cocrystal,2
DUXZAX,cocrystal,2
DUYPAO,salt,1
DUYPES,salt,1
DUYWEA,cocrystal,2
DUZNIW,hydrate,3
DUZNOC,hydrate,3
DUZPEU,cocrystal,2
DUZPEV,salt,1
DUZPUK,salt,1
DUZQAR,salt,1
DZITUB20,salt,1
EACWOU,cocrystal,2
EADBAC,cocrystal,2
EADBAR10,cocrystal,2
EADNPP,salt,1
EADPBA,cocrystal,2
EAETCB,salt,1
EAPCBA,salt,1
EBAEBH,cocrystal,2
EBALEB,cocrystal,2
EBASEF,cocrystal,2
EBAVUZ,hydrate,3
EBAWAG,hydrate,3
EBAWEK,hydrate,3
EBAXUC,cocrystal,2
EBAZIS,salt,1
EBEBIZ,salt,1
EBECAS,salt,1
EBECEW,salt,1
EBECIA,salt,1
EBEDEX,salt,1
EBEDIB,salt,1
EBEFAV,salt,1
EBEFOJ,salt,1
EBEFUP,salt,1
EBEGUQ,salt,1
EBEJAZ,hydrate,3
EBENAD,hydrate,3
EBENEH,hydrate,3
EBEQAG,salt,1
EBERIP,cocrystal,2
EBEROV,cocrystal,2
EBESAI,salt,1
EBETUE,hydrate,3
EBIBEA,salt,1
EBIBEW,cocrystal,2
EBIBIE,salt,1
EBIBUQ,salt,1
EBIDEC,salt,1
EBIFAA,solvate,4
EBIFOK,salt,1
EBIHAC,hydrate,3
EBIHEF,cocrystal,2
EBIHEG,hydrate,3
EBIHIH,cocrystal,2
EBIHON,cocrystal,2
EBIHUT,cocrystal,2
EBIJAB,cocrystal,2
EBIJEF,cocrystal,2
EBIJIJ,cocrystal,2
EBIJOP,cocrystal,2
EBILOR,cocrystal,2
EBILUX,cocrystal,2
EBIMEI,cocrystal,2
EBIMIM,cocrystal,2
EBIMOS,hydrate,3
EBINAF,salt,1
EBININ,salt,1
EBIXEW,salt,1
EBIXIX,salt,1
EBIYEX,salt,1
EBIYOH,salt,1
EBOHOU,salt,1
EBOHUA,salt,1
EBOJAK,cocrystal,2
EBOJOY,cocrystal,2
EBOKIP,salt,1
EBOLEP,cocrystal,2
EBONAN,cocrystal,2
EBONER,cocrystal,2
EBONIV,cocrystal,2
EBONUG,cocrystal,2
EBOXOM,salt,1
EBPETY,cocrystal,2
EBPMUR,cocrystal,2
EBPTCQ,salt,1
EBSPMC,salt,1
EBTCTS,hydrate,3
EBUBUA,hydrate,3
EBUCEL,solvate,4
EBUCIP,cocrystal,2
EBUCOV,cocrystal,2
EBUDAI,cocrystal,2
EBUDEM,cocrystal,2
EBUGAL,salt,1
EBUGEP,salt,1
EBUGIT,salt,1
EBUGOZ,salt,1
EBUGUF,salt,1
EBUHAM,salt,1
EBUHIU,salt,1
EBUJES,salt,1
EBUJIW,solvate,4
EBUKUH,salt,1
EBULAO,salt,1
EBUVUW,solvate,4
ECABIV,cocrystal,2
ECADAN,salt,1
ECADER,salt,1
ECADIV,salt,1
ECAJIC,salt,1
ECAKAX,cocrystal,2
ECANII,hydrate,3
ECAQAD,salt,1
ECARAB,cocrystal,2
ECAWUA,cocrystal,2
ECAXOV,salt,1
ECAYIQ,salt,1
ECAYOW,salt,1
ECAYUC,salt,1
ECAZAJ,salt,1
ECAZEN,salt,1
ECEJII,salt,1
ECEJOO,salt,1
ECEPUA,salt,1
ECEQAG,hydrate,3
ECEQEK,hydrate,3
ECEQEL,cocrystal,2
ECEQIP,hydrate,3
ECEQOU,hydrate,3
ECEQOV,salt,1
ECEQUA,hydrate,3
ECEQUB,salt,1
ECERAI,salt,1
ECEREM,cocrystal,2
ECERIQ,cocrystal,2
ECEROW,cocrystal,2
ECERUC,salt,1
ECEZET,salt,1
ECHNYL,cocrystal,2
ECICEY,cocrystal,2
ECICIC,cocrystal,2
ECIPUB,salt,1
ECIQOW,salt,1
ECIRAJ,salt,1
ECIREQ,salt,1
ECIRIR,salt,1
ECIRIV,salt,1
ECIROB,hydrate,3
ECIROX,salt,1
ECIVEU,hydrate,3
ECIWAP,cocrystal,2
ECIWIX,solvate,4
ECIWOD,hydrate,3
ECIWUI,hydrate,3
ECIXAP,salt,1
ECOQEV,salt,1
ECORUL,hydrate,3
ECOVOK,salt,1
ECOVUQ,salt,1
ECUBOU,salt,1
ECUQUO,cocrystal,2
ECUSUU,hydrate,3
ECUTAB,hydrate,3
ECUTIF,salt,1
ECUTUR,cocrystal,2
ECUVIH,cocrystal,2
ECUVON,cocrystal,2
ECYTCN10,salt,1
EDABUG,salt,1
EDACER,salt,1
EDACUH,salt,1
EDADOC,salt,1
EDADUI,salt,1
EDAFAQ,salt,1
EDAFEU,salt,1
EDAGIZ,cocrystal,2
EDAGUL,cocrystal,2
EDAJAW,salt,1
EDAJEA,hydrate,3
EDAJIE,salt,1
EDALEC,salt,1
EDAMAZ,cocrystal,2
EDAPOQ,cocrystal,2
EDARUA,cocrystal,2
EDASUX,salt,1
EDATAR01,salt,1
EDATEI,salt,1
EDATOS,salt,1
EDAVAK,hydrate,3
EDAVOU,salt,1
EDAWAH,cocrystal,2
EDAXIQ,salt,1
EDAYEQ,cocrystal,2
EDAYIU,cocrystal,2
EDAYUG,cocrystal,2
EDAZAN,cocrystal,2
EDAZER,cocrystal,2
EDAZOB,cocrystal,2
EDCDMP10,cocrystal,2
EDECOF,cocrystal,2
EDEDIA,salt,1
EDEFAY,hydrate,3
EDEHON,salt,1
EDEJAB,hydrate,3
EDEJEF,salt,1
EDEJIJ,salt,1
EDENAD,hydrate,3
EDEVUF,salt,1
EDEWOA,salt,1
EDITOD,cocrystal,2
EDOHIO,salt,1
EDOHOU,salt,1
EDOHOY,hydrate,3
EDOJAI,hydrate,3
EDOJEM,hydrate,3
EDOJEQ,salt,1
EDOKAJ,hydrate,3
EDOKOX,hydrate,3
EDOKUD,hydrate,3
EDOLAK,hydrate,3
EDOLAL,hydrate,3
EDOLEO,hydrate,3
EDOLIS,hydrate,3
EDOLOZ,solvate,4
EDOMIX,salt,1
EDOMUJ,salt,1
EDONUK,salt,1
EDOROE,cocrystal,2
EDOSAR,salt,1
EDOSIA,salt,1
EDOWEZ,salt,1
EDOWID,salt,1
EDUBAJ,salt,1
EDUMOI,hydrate,3
EDUNAS,salt,1
EDUNEW,salt,1
EDUVUW,hydrate,3
EDUWEH,salt,1
EDUWOP,cocrystal,2
EDUWOQ,salt,1
EDUXEI,salt,1
EDUYOS,salt,1
EDUYUZ,salt,1
EFAFIC,salt,1
EFAHOL,cocrystal,2
EFALOO,salt,1
EFAMEG,hydrate,3
EFANEG,salt,1
EFANIK,salt,1
EFASOV,hydrate,3
EFAWUF,cocrystal,2
EFEBAW,hydrate,3
EFEBEW,salt,1
EFEDIG,salt,1
EFERAK,salt,1
EFINEN,salt,1
EFIPOZ,hydrate,3
EFIQAM,salt,1
EFISOD,cocrystal,2
EFOBEH,salt,1
EFOBIL,hydrate,3
EFOBOR,salt,1
EFOBUX,salt,1
EFOCAE,salt,1
EFOCEI,salt,1
EFOCIM,salt,1
EFOCOS,hydrate,3
EFOFAG,hydrate,3
EFOGIP,salt,1
EFOJEQ,solvate,4
EFOJIU,salt,1
EFOJOA,solvate,4
EFOJUG,salt,1
EFOKAN,salt,1
EFOLIW,salt,1
EFOLOC,salt,1
EFOMOB,salt,1
EFONIW,salt,1
EFOSIE,cocrystal,2
EFOXAY,salt,1
EFOXEC,hydrate,3
EFOZAB,cocrystal,2
EFUCAL,salt,1
EFUCEP,cocrystal,2
EFUDEP,salt,1
EFUDIT,salt,1
EFUDOA,cocrystal,2
EFUDUG,cocrystal,2
EFUFAO,cocrystal,2
EFUFES,cocrystal,2
EFUFIW,cocrystal,2
EFUFOC,cocrystal,2
EFUFUI,cocrystal,2
EFUGAP,cocrystal,2
EFUGET,cocrystal,2
EFUGIX,cocrystal,2
EFUNID,salt,1
EFUNOJ,salt,1
EFUPIH,salt,1
EFUQUS,salt,1
EFUXEJ,salt,1
EFUXIN,salt,1
EFUXOT,salt,1
EFUZIQ,salt,1
EFUZOW,salt,1
EFUZUC,hydrate,3
EGABEV,salt,1
EGABOF,salt,1
EGAMIJ,solvate,4
EGAWEO,cocrystal,2
EGAZUH,solvate,4
EGENIP,cocrystal,2
EGENOV,hydrate,3
EGENUB,cocrystal,2
EGEPAJ,cocrystal,2
EGERIS,salt,1
EGIQAO,cocrystal,2
EGIQES,salt,1
EGMCYT10,cocrystal,2
EGMFCY10,cocrystal,2
EGOBOT,salt,1
EGOCAG,salt,1
EGONAS,salt,1
EGOPAS,hydrate,3
EGOPUN,salt,1
EGOREZ,solvate,4
EGOSEB,salt,1
EGOXIJ,salt,1
EGUHOE,salt,1
EGUJAR,salt,1
EGUJEV,hydrate,3
EGUJIB,cocrystal,2
EGUJIZ,hydrate,3
EGULOH,salt,1
EGUSUW,cocrystal,2
EGUTEF,salt,1
EGUTIJ,salt,1
EGUVAD,hydrate,3
EGUVAE,salt,1
EGUXAG,cocrystal,2
EGUXOU,salt,1
EHACIA,salt,1
EHAHED,salt,1
EHAHIH,hydrate,3
EHAHON,salt,1
EHAJAB,salt,1
EHAJEF,salt,1
EHAPOV,hydrate,3
EHASEO,salt,1
EHEFUU,hydrate,3
EHEGAC,salt,1
EHEGEG,salt,1
EHEGOQ,salt,1
EHEKIM,solvate,4
EHENIO,salt,1
EHERAN,cocrystal,2
EHESIT,cocrystal,2
EHESUF,cocrystal,2
EHETOD,cocrystal,2
EHICUU,salt,1
EHIPUJ,salt,1
EHIQAQ,salt,1
EHIQEU,salt,1
EHIQIY,salt,1
EHIQUK,salt,1
EHIVID,salt,1
EHIVOJ,hydrate,3
EHIWAW,hydrate,3
EHIWIB,salt,1
EHOLAO,hydrate,3
EHONEU,salt,1
EHOTOK,cocrystal,2
EHOVIG,salt,1
EHOZOT,cocrystal,2
EHUFEV,cocrystal,2
EHUFIZ,cocrystal,2
EHUGOE,hydrate,3
EHUNOL,cocrystal,2
EHUQII,cocrystal,2
EHUYIQ,cocrystal,2
EJACOK,salt,1
EJALOT,salt,1
EJAZUN,cocrystal,2
EJEDUU,salt,1
EJEGAB,salt,1
EJEJEI,cocrystal,2
EJEMAK,salt,1
EJEPOA,cocrystal,2
EJEPUG,cocrystal,2
EJEQAN,cocrystal,2
EJEQER,cocrystal,2
EJEQIV,cocrystal,2
EJEQOB,cocrystal,2
EJEQUH,cocrystal,2
EJERES,cocrystal,2
EJETAO,hydrate,3
EJETES,salt,1
EJEVUK,cocrystal,2
EJEZAX,salt,1
EJEZIF,cocrystal,2
EJIDUY,salt,1
EJIRIB,cocrystal,2
EJIVAV,salt,1
EJIWID,cocrystal,2
EJOBEN,cocrystal,2
EJOCAK,cocrystal,2
EJOJAR,hydrate,3
EJOJIZ,salt,1
EJOJOF,salt,1
EJOLIA,salt,1
EJOMIB,salt,1
EJORIG,cocrystal,2
EJOYOU,salt,1
EJUKAV,solvate,4
EJUKEZ,hydrate,3
EJUKIF,salt,1
EJULEA,salt,1
EJUNED,salt,1
EJUNIH,salt,1
EJUNON,salt,1
EJUPOQ,salt,1
EJUQIK,salt,1
EJUTIP,cocrystal,2
EJUTOV,cocrystal,2
EJUZAK,salt,1
EJUZEO,cocrystal,2
EJUZIS,cocrystal,2
EJUZOB,salt,1
EJUZOY,salt,1
EKACOK,cocrystal,2
EKACOL,salt,1
EKAFUT,cocrystal,2
EKAGAZ,hydrate,3
EKALIN,cocrystal,2
EKATUH,salt,1
EKAVAP,salt,1
EKAWAR,salt,1
EKAWOC,salt,1
EKAZEY,cocrystal,2
EKELUB,salt,1
EKEMUC,cocrystal,2
EKEPEP,salt,1
EKEXIE,salt,1
EKEXOK,salt,1
EKEXUQ,salt,1
EKEYEB,salt,1
EKEYOL,salt,1
EKIBAD,salt,1
EKIBEH,salt,1
EKOCAL,salt,1
EKOCIT,salt,1
EKOCOW,salt,1
EKOCUC,salt,1
EKOQAZ,cocrystal,2
EKOROO,hydrate,3
EKOZIQ,cocrystal,2
EKUBOD,salt,1
EKUJIF,hydrate,3
EKUJOL,salt,1
EKUJOM,hydrate,3
EKUJUR,hydrate,3
EKUMAY,hydrate,3
EKUMOP,salt,1
EKUNUU,hydrate,3
EKUTAG,solvate,4
EKUWIS,hydrate,3
ELAMIN,salt,1
ELAPIT,hydrate,3
ELEBOP,salt,1
ELEGUY,cocrystal,2
ELEJUD,salt,1
ELEKAK,salt,1
ELEKEO,salt,1
ELEKIS,salt,1
ELEKOY,hydrate,3
ELENUF,salt,1
ELEPER,salt,1
ELEPIV,salt,1
ELETUM,salt,1
ELEVAU,salt,1
ELEWOH,salt,1
ELEWOK,salt,1
ELEYID,hydrate,3
ELEYOJ,salt,1
ELIMIV,salt,1
ELIPAR,salt,1
ELIQOH,hydrate,3
ELIYAZ,cocrystal,2
ELIZAC,salt,1
ELIZEG,salt,1
ELIZIL,hydrate,3
ELOGOE,cocrystal,2
ELOPOM,cocrystal,2
ELOQIH,salt,1
ELOQUT,salt,1
ELUDIZ,salt,1
ELUGOJ,cocrystal,2
ELUHEA,solvate,4
ELUMII,hydrate,3
ELUWIU,cocrystal,2
EMACOM,cocrystal,2
EMAJEJ,salt,1
EMAKEJ,salt,1
EMALEJ,salt,1
EMAMEN,salt,1
EMAPEP,cocrystal,2
EMAVEU,hydrate,3
EMAVUM,salt,1
EMAWEV,hydrate,3
EMBIMP,salt,1
EMEBON,cocrystal,2
EMEDOS,salt,1
EMEDUY,hydrate,3
EMEFAG,hydrate,3
EMEVID,salt,1
EMIHAJ,salt,1
EMIMAO,salt,1
EMINUJ,salt,1
EMIQAV,salt,1
EMIQEZ,cocrystal,2
EMIRIB,hydrate,3
EMIROH,hydrate,3
EMIROI,hydrate,3
EMIRUN,hydrate,3
EMIRUO,hydrate,3
EMISAU,solvate,4
EMIVOM,salt,1
EMIVUS,salt,1
EMIWAZ,salt,1
EMIWIH,salt,1
EMIWON,salt,1
EMIWUT,salt,1
EMOGUJ,salt,1
EMOJOH,cocrystal,2
EMOKIB,salt,1
EMOMOI,cocrystal,2
EMONAW,cocrystal,2
EMOQEC,cocrystal,2
EMOZOV,solvate,4
EMOZSD,cocrystal,2
EMOZUB,solvate,4
EMPIPP,salt,1
EMPTCB,salt,1
EMUBIX,hydrate,3
EMUDAS,salt,1
EMUFUP,hydrate,3
EMUKEE,cocrystal,2
EMUKII,cocrystal,2
EMUMAC,salt,1
EMUMOQ,hydrate,3
EMUNAD,salt,1
EMUPOR,salt,1
EMUREJ,salt,1
EMUSUD,salt,1
EMUTAK,salt,1
EMUZAQ,hydrate,3
EMUZEU,hydrate,3
EMUZOC,cocrystal,2
EMUZOE,salt,1
EMZTCN10,salt,1
ENACOL,cocrystal,2
ENADAZ,solvate,4
ENAGEG,cocrystal,2
ENAGIK,cocrystal,2
ENAHAD,cocrystal,2
ENAHIL,cocrystal,2
ENAHUZ,salt,1
ENAJIP,salt,1
ENAJOV,salt,1
ENAYEZ,salt,1
ENAYOJ,salt,1
ENEKOA,hydrate,3
ENEKUG,hydrate,3
ENELAL,cocrystal,2
ENELOZ,salt,1
ENENAM,salt,1
ENENUI,cocrystal,2
ENEPAQ,cocrystal,2
ENEPEU,cocrystal,2
ENEPIY,cocrystal,2
ENEPOE,cocrystal,2
ENEYED,cocrystal,2
ENHCIT,salt,1
ENHTAR,hydrate,3
ENIBOT,cocrystal,2
ENIBUZ,cocrystal,2
ENICEK,cocrystal,2
ENICIO,cocrystal,2
ENIHIS,salt,1
ENIJUJ,cocrystal,2
ENIKIY,cocrystal,2
ENIKOE,cocrystal,2
ENIPUO,salt,1
ENISEC,salt,1
ENIYIJ,salt,1
ENOBIT,salt,1
ENOBOZ,salt,1
ENOBUF,salt,1
ENOCAM,salt,1
ENOCEQ,salt,1
ENODAN,hydrate,3
ENODIV,hydrate,3
ENODOB,cocrystal,2
ENOGIY,salt,1
ENOHIA,salt,1
ENOHOG,salt,1
ENOJEY,salt,1
ENOLAX,hydrate,3
ENOTAF,salt,1
ENOTEJ,salt,1
ENOTOT,salt,1
ENUFOJ,salt,1
ENUPEJ,cocrystal,2
ENUVEQ,salt,1
ENUVIU,salt,1
ENUWAN,solvate,4
ENUZUL,salt,1
EPAFOS,hydrate,3
EPAFOT,salt,1
EPAJUD,cocrystal,2
EPAMTH,salt,1
EPAQES,cocrystal,2
EPAQIW,cocrystal,2
EPAVOJ,cocrystal,2
EPAXAX,salt,1
EPEDUB,cocrystal,2
EPEDUZ,salt,1
EPEHOX,hydrate,3
EPEWUS,cocrystal,2
EPEXED,cocrystal,2
EPEZOP,cocrystal,2
EPEZUV,cocrystal,2
EPHDHP,salt,1
EPHEDP,hydrate,3
EPIBAH,cocrystal,2
EPIBOX,cocrystal,2
EPIHOD,hydrate,3
EPISAY,salt,1
EPIVIJ,salt,1
EPIVOP,salt,1
EPIVUV,cocrystal,2
EPIWAC,cocrystal,2
EPIWEG,cocrystal,2
EPIWIK,cocrystal,2
EPMTCQ,salt,1
EPOFOG,hydrate,3
EPOGEX,salt,1
EPOGIB,salt,1
EPOGOH,hydrate,3
EPOHUP,cocrystal,2
EPOLED,salt,1
EPOTUB,salt,1
EPRYBS,salt,1
EPUDAW,cocrystal,2
EPUFED,cocrystal,2
EPUFIH,salt,1
EPUFON,salt,1
EPUGAA,salt,1
EPUGEE,salt,1
EPUGII,salt,1
EPUHAB,salt,1
EPUHEF,salt,1
EPUHIJ,salt,1
EPUNUA,hydrate,3
EPUPUB,cocrystal,2
EPUQAK,hydrate,3
EPUQEM,cocrystal,2
EPUQIQ,cocrystal,2
EPUSIT,cocrystal,2
EPUSOZ,cocrystal,2
EPZTCD,salt,1
EQAKOX,salt,1
EQAKOZ,cocrystal,2
EQAKUF,hydrate,3
EQATOH,hydrate,3
EQAVOJ,salt,1
EQAYEB,hydrate,3
EQAYIF,salt,1
EQAYOM,salt,1
EQEHIU,cocrystal,2
EQEHOA,cocrystal,2
EQEJIW,cocrystal,2
EQEJOC,cocrystal,2
EQEWII,salt,1
EQIMIC,salt,1
EQISIH,cocrystal,2
EQISON,cocrystal,2
EQIVEH,salt,1
EQOBIY,cocrystal,2
EQOBOE,cocrystal,2
EQONOP,salt,1
EQOPAB,cocrystal,2
EQOPUV,cocrystal,2
EQOSEL,salt,1
EQUHOP,salt,1
EQUHUV,salt,1
EQUJAD,salt,1
EQUJEH,salt,1
EQUMOU,cocrystal,2
EQUMUB,cocrystal,2
EQUREO,cocrystal,2
EQUSAM,salt,1
EQUSEQ,salt,1
EQUVUK,hydrate,3
EQUXOD,salt,1
EQUXOG,salt,1
EQUXUJ,salt,1
ERADOQ,cocrystal,2
ERAFAE,cocrystal,2
ERAFAG,salt,1
ERAFEI,cocrystal,2
ERAFIP,solvate,4
ERAGOW,cocrystal,2
ERAGUC,hydrate,3
ERAHAJ,cocrystal,2
ERAHEN,salt,1
ERAHIR,cocrystal,2
ERAHUD,salt,1
ERAJAL,salt,1
ERAJIS,solvate,4
ERAJIT,salt,1
ERAMEP,salt,1
ERAVAU,cocrystal,2
ERAVIC,salt,1
ERAWOL,salt,1
ERAWOM,hydrate,3
ERAXIG,salt,1
EREFOZ,hydrate,3
EREFUE,salt,1
EREFUF,hydrate,3
ERELIZ,cocrystal,2
ERELOF,cocrystal,2
EREMAS,salt,1
EREPUO,salt,1
EREQIE,hydrate,3
EREQOK,hydrate,3
EREQUQ,hydrate,3
EREXAA,hydrate,3
EREXEE,hydrate,3
EREYOS,solvate,4
ERICEQ,salt,1
ERIDOB,solvate,4
ERIJAT,hydrate,3
ERIKEV,solvate,4
ERIKOF,salt,1
ERIKOH,solvate,4
ERIKUL,cocrystal,2
ERIPEA,cocrystal,2
ERIPUQ,cocrystal,2
ERIQOL,cocrystal,2
ERISON,salt,1
ERIVOR,hydrate,3
ERIWUY,cocrystal,2
ERIYEK,salt,1
ERMEMT10,salt,1
EROBAP,salt,1
EROBEV,hydrate,3
EROCIX,cocrystal,2
ERODUL,salt,1
EROFEW,cocrystal,2
EROFEZ,salt,1
EROFUP,salt,1
EROGOI,cocrystal,2
EROHOJ,salt,1
EROMIJ,salt,1
EROMOP,salt,1
ERONEF,salt,1
EROROT,salt,1
EROSIO,salt,1
EROSOV,salt,1
EROWAK,salt,1
EROXAL,salt,1
ERUKIL,salt,1
ERUNOU,cocrystal,2
ERYSTM10,salt,1
ESAFIP,cocrystal,2
ESAJAL,hydrate,3
ESAJEP,hydrate,3
ESAJIT,hydrate,3
ESAJOZ,salt,1
ESAJUF,salt,1
ESAKAM,salt,1
ESALOC,salt,1
ESALUH,hydrate,3
ESAMES,salt,1
ESAMET,salt,1
ESAQEU,salt,1
ESAQIY,salt,1
ESAQOE,salt,1
ESATOH,cocrystal,2
ESATUN,cocrystal,2
ESAVIF,cocrystal,2
ESAVOL,salt,1
ESAWAY,cocrystal,2
ESAWEC,solvate,4
ESAWOK,cocrystal,2
ESAWON,cocrystal,2
ESAWUQ,cocrystal,2
ESAXAA,salt,1
ESAXAZ,salt,1
ESAYEE,salt,1
ESEDAK,salt,1
ESEFEO,hydrate,3
ESEJET,salt,1
ESEJIX,salt,1
ESEXOP,salt,1
ESEYOT,salt,1
ESEZAG,cocrystal,2
ESIKUM,salt,1
ESIMAW,salt,1
ESIMEA,solvate,4
ESIMIE,solvate,4
ESINAX,salt,1
ESIRUU,hydrate,3
ESODUO,salt,1
ESORAI,hydrate,3
ESOTIR,hydrate,3
ESOURE10,cocrystal,2
ESOWOA,salt,1
ESOWUF,salt,1
ESOWUG,salt,1
ESOXOC,hydrate,3
ESOZOD,salt,1
ESUBUP,salt,1
ESUGIK,cocrystal,2
ESUMEL,salt,1
ESUTEU,cocrystal,2
ESUXEV,salt,1
ETABAC,cocrystal,2
ETABFU,cocrystal,2
ETAKES,salt,1
ETARID,salt,1
ETARUP,salt,1
ETASAW,hydrate,3
ETATOL,cocrystal,2
ETAYUU,hydrate,3
ETAZAB,hydrate,3
ETAZIJ,salt,1
ETAZOP,solvate,4
ETAZUV,hydrate,3
ETDAMS,salt,1
ETECEO,hydrate,3
ETECOY,salt,1
ETECUE,hydrate,3
ETEFAN,cocrystal,2
ETEFIV,cocrystal,2
ETEFUF,cocrystal,2
ETELOF,cocrystal,2
ETEVUU,hydrate,3
ETEWOR,salt,1
ETEWUV,salt,1
ETEWUX,hydrate,3
ETEXAE,hydrate,3
ETEYOR,salt,1
ETEZIO,solvate,4
ETEZOU,solvate,4
ETEZUA,solvate,4
ETFTCQ,cocrystal,2
ETHIUA10,hydrate,3
ETIBAM,solvate,4
ETIBEQ,solvate,4
ETIBUG,cocrystal,2
ETIDUG,hydrate,3
ETIGAP,salt,1
ETIGET,hydrate,3
ETIGUJ,hydrate,3
ETILUO,salt,1
ETIMUR,solvate,4
ETIQAZ,hydrate,3
ETIQOQ,cocrystal,2
ETIQUT,salt,1
ETIRAA,salt,1
ETIRAB,salt,1
ETIREE,salt,1
ETISIJ,solvate,4
ETITEG,salt,1
ETIXIR,salt,1
ETIZIQ,salt,1
ETIZOW,hydrate,3
ETIZOZ,salt,1
ETOBAT,salt,1
ETONIM,cocrystal,2
ETOTIS,salt,1
ETOXEQ,salt,1
ETOYAP,cocrystal,2
ETUBUT,hydrate,3
ETUCAA,cocrystal,2
ETUCII,salt,1
ETUCUT,salt,1
ETUNIQ,cocrystal,2
ETUPAN,salt,1
ETUPIV,hydrate,3
ETURET,salt,1
ETZCTC,salt,1
EVABEL,salt,1
EVACAG,cocrystal,2
EVAFIR,hydrate,3
EVAFUD,salt,1
EVAGEP,hydrate,3
EVAHEQ,salt,1
EVALAP,salt,1
EVAMIX,cocrystal,2
EVAMIY,salt,1
EVANAR,cocrystal,2
EVAQOI,salt,1
EVARIC,hydrate,3
EVASAW,hydrate,3
EVATED,cocrystal,2
EVATIH,salt,1
EVAVUT,hydrate,3
EVAWOO,cocrystal,2
EVAXUV,cocrystal,2
EVAZIM,hydrate,3
EVAZUX,salt,1
EVEBUD,hydrate,3
EVEDAL,hydrate,3
EVEHAP,salt,1
EVELEX,salt,1
EVENIE,cocrystal,2
EVENOJ,hydrate,3
EVEPIF,salt,1
EVEREE04,cocrystal,2
EVERON,hydrate,3
EVEROO04,cocrystal,2
EVERUT,salt,1
EVESAB04,cocrystal,2
EVETAB,cocrystal,2
EVEVUY,cocrystal,2
EVEXEJ,salt,1
EVEXIN,salt,1
EVEXUZ,cocrystal,2
EVEYAH,cocrystal,2
EVEYOV,salt,1
EVEZOV,cocrystal,2
EVIDIX,salt,1
EVIHOH,salt,1
EVIJOJ,hydrate,3
EVIJUO,solvate,4
EVIKEA,salt,1
EVIRUY,salt,1
EVISIN,solvate,4
EVISOT,salt,1
EVITIM,salt,1
EVIXAL,salt,1
EVIXOW,salt,1
EVOCUO,salt,1
EVODEY,cocrystal,2
EVODIC,cocrystal,2
EVOGED,hydrate,3
EVOGIG,salt,1
EVOHED,salt,1
EVOJIK,cocrystal,2
EVOJUV,hydrate,3
EVOKEG,salt,1
EVONIN,salt,1
EVOQAH,salt,1
EVOQUB,salt,1
EVORAJ,salt,1
EVOSAL,salt,1
EVOSUG,cocrystal,2
EVOZIZ,salt,1
EVUGEH,cocrystal,2
EVUGIL,cocrystal,2
EVULUF,cocrystal,2
EVUMUD,salt,1
EVUXUQ,salt,1
EVUYID,cocrystal,2
EVUZEA,cocrystal,2
EVUZIE,cocrystal,2
EVUZOK,cocrystal,2
EWABAF,cocrystal,2
EWABIQ,salt,1
EWABUZ,cocrystal,2
EWACAG,cocrystal,2
EWACEL,cocrystal,2
EWADOX,hydrate,3
EWAHUH,hydrate,3
EWALIA,salt,1
EWAMOF,cocrystal,2
EWAMUL,cocrystal,2
EWANAS,cocrystal,2
EWANEW,cocrystal,2
EWANIA,cocrystal,2
EWANOG,cocrystal,2
EWAPAU,cocrystal,2
EWAPIC,cocrystal,2
EWAPOI,cocrystal,2
EWAPUO,hydrate,3
EWAQAV,cocrystal,2
EWAQEZ,hydrate,3
EWAQID,cocrystal,2
EWAQOJ,cocrystal,2
EWAQUP,cocrystal,2
EWARAW,cocrystal,2
EWAREA,cocrystal,2
EWARIE,cocrystal,2
EWAROK,cocrystal,2
EWATON02,salt,1
EWAXUX,hydrate,3
EWAYAE,hydrate,3
EWAYEI,salt,1
EWAYEJ,cocrystal,2
EWAYIM,salt,1
EWAYIN,cocrystal,2
EWAYOT,cocrystal,2
EWAYUY,cocrystal,2
EWAZEJ,cocrystal,2
EWAZIO,cocrystal,2
EWEKOG,salt,1
